Game Type,Date,Opponent,TTO,Pitcher,P Hand,Inning,Pitch Count,Batter,B Hand,ROB,Count,Outs,PAResCopy1,Pitch Type,Pitch Result,PA Result,Base Adv.,Exit Velo,BIP Type,Pitch Velo,TTP,PAResCopy2,OA3,Putaways,Catcher,Umpire,PitcherCopy,Team W-L,Score,Start/Relief,W,L,S,IP,R,ER,LO #,LO-reach,LO-Score,BI,BI-Ch,SD Inn,SD-Ch,M-out,M-Ch,1st Responder,IR,IR-Score,Previous Pitch Type,Previous Pitch result,Previous PA Result,BlankCol1,BlankCol2,BlankCol3,BlankCol4,BlankCol5,BlankCol6,BlankCol7,BlankCol8,BlankCol9,BlankCol10
DO NOT USE THIS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,Leadoff,,,Big Innings,,Shutdowns,,Momentum,,,Inherited,,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22 Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/3/24,INTRASQUAD,1st,Radtke,R,4,20,Facinelli,RHH,R123+,1-0,2,GO,FB,Str-BIP,GO,,104,Ground,84,,GO,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/24 Fall worldseries 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,1,Karp,RHH,BE,0-0,0,,FB,Ball,,,,,88,,,,,Nascimento,,,,,Start,,,,2.67,3,1,3,1,1,,,,,3,5,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,2,Karp,RHH,BE,1-0,0,FO,FB,Str-BIP,FO,,86,Popup,88,,FO,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,3,Kender,RHH,BE,0-0,1,,FB,Ball,,,,,89,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,4,Kender,RHH,BE,1-0,1,,FB,Str-take,,,,,88,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,5,Kender,RHH,BE,1-1,1,,CH,Ball,,,,,82,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,6,Kender,RHH,BE,2-1,1,,CH,Str-take,,,,,81,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,7,Kender,RHH,BE,2-2,1,Error,FB,Str-BIP,Error,,54,Ground,89,,Error,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,8,Trommer,LHH,R1,0-0,1,,FB,Ball,,,,,89,1.55,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,9,Trommer,LHH,R1,1-0,1,FO,CH,Str-BIP,FO,,99,Line,81,1.60,FO,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,10,Chiaravallo,RHH,R1,0-0,2,,SL,Ball,,WP,,,78,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,11,Chiaravallo,RHH,R2+,1-0,2,,FB,Str-foul,,,,,89,1.65,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,12,Chiaravallo,RHH,R2+,1-1,2,,CH,Ball,,,,,82,1.60,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,13,Chiaravallo,RHH,R2+,2-1,2,2B,FB,Str-BIP,2B,,93,Line,88,1.65,2B,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,14,Facinelli,RHH,R2+,0-0,2,,CH,Ball,,,,,82,1.70,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,15,Facinelli,RHH,R2+,1-0,2,2B,FB,Str-BIP,2B,,98,Line,89,1.50,2B,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,16,Bowne,RHH,R2+,0-0,2,,CH,Str-take,,,,,83,1.55,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,17,Bowne,RHH,R2+,0-1,2,,CH,Str-foul,,,,,82,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,1,18,Bowne,RHH,R2+,0-2,2,FO,FB,Str-BIP,FO,,95,Line,89,1.50,FO,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,1,Fluharty,RHH,BE,0-0,0,,FB,Str-take,,,,,90,,,,,Bowne,,,,,Start,,,,3.00,0,0,3,0,0,,,,,1,1,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,2,Fluharty,RHH,BE,0-1,0,GO,SL,Str-BIP,GO,,70,Ground,78,,GO,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,3,Dunn,LHH,BE,0-0,1,,FB,Ball,,,,,91,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,4,Dunn,LHH,BE,1-0,1,,FB,Str-take,,,,,91,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,5,Dunn,LHH,BE,1-1,1,,SL,Ball,,,,,79,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,6,Dunn,LHH,BE,2-1,1,FO,FB,Str-BIP,FO,,88,Fly,90,,FO,N,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,1,7,Bullock,RHH,BE,0-0,2,FO,FB,Str-BIP,FO,,103,Line,91,,FO,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,2,19,Coupe,LHH,BE,0-0,0,,FB,Str-foul,,,,,88,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,2,20,Coupe,LHH,BE,0-1,0,,FB,Ball,,,,,89,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,2,21,Coupe,LHH,BE,1-1,0,,CH,Str-take,,,,,81,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,2,22,Coupe,LHH,BE,1-2,0,,CH,Ball,,,,,82,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Garber,R,2,23,Coupe,LHH,BE,2-2,0,KL,CH,Str-take,KL,,,,81,,KL,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,24,Karp,RHH,BE,0-0,1,,CH,Str-take,,,,,82,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,25,Karp,RHH,BE,0-1,1,1B,FB,Str-BIP,1B,,102,Line,90,,1B,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,26,Kender,RHH,R1,0-0,1,,SL,Ball,,,,,79,1.60,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,27,Kender,RHH,R1,1-0,1,1B,FB,Str-BIP,1B,,98,Line,88,1.50,1B,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,28,Trommer,LHH,R12+,0-0,1,,SL,Ball,,,,,79,1.60,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,29,Trommer,LHH,R12+,1-0,1,,FB,Str-S/M,,,,,89,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,30,Trommer,LHH,R12+,1-1,1,,FB,Str-S/M,,,,,90,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,31,Trommer,LHH,R12+,1-2,1,,FB,Str-foul,,,,,91,1.60,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,32,Trommer,LHH,R12+,1-2,1,,FB,Ball,,,,,89,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,33,Trommer,LHH,R12+,2-2,1,,FB,Str-foul,,,,,90,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,34,Trommer,LHH,R12+,2-2,1,K,FB,Str-S/M,K,,,,90,1.50,K,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,35,Chiaravallo,RHH,R12+,0-0,2,,CH,Str-S/M,,,,,83,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,36,Chiaravallo,RHH,R12+,0-1,2,,CH,Str-S/M,,,,,82,1.55,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,37,Chiaravallo,RHH,R12+,0-2,2,,FB,Ball,,,,,90,1.50,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,38,Chiaravallo,RHH,R12+,1-2,2,,CH,Ball,,,,,82,1.45,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,2,39,Chiaravallo,RHH,R12+,2-2,2,2B,CH,Str-BIP,2B,CS4,99,Line,82,1.55,2B,Y,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,8,Nascimento,RHH,BE,0-0,0,,FB,Str-take,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,9,Nascimento,RHH,BE,0-1,0,,SL,Str-take,,,,,78,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,10,Nascimento,RHH,BE,0-2,0,,SL,Str-foul,,,,,81,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,11,Nascimento,RHH,BE,0-2,0,KL,FB,Str-take,KL,,,,91,,KL,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,12,"Swenson, A.",RHH,BE,0-0,1,GO,SL,Str-BIP,GO,,,Ground,78,,GO,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,13,Alexander,LHH,BE,0-0,2,,FB,Str-take,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,14,Alexander,LHH,BE,0-1,2,,FB,Str-take,,,,,91,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,15,Alexander,LHH,BE,0-2,2,,FB,Ball,,,,,90,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,16,Alexander,LHH,BE,1-2,2,,CH,Ball,,,,,85,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,2,17,Alexander,LHH,BE,2-2,2,K,FB,Str-S/M,K,,,,90,,K,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,40,Facinelli,RHH,BE,0-0,0,,SL,Str-S/M,,,,,79,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,42,Facinelli,RHH,BE,0-1,0,,SL,Ball,,,,,78,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,43,Facinelli,RHH,BE,1-1,0,,SL,Ball,,,,,77,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,44,Facinelli,RHH,BE,2-1,0,,FB,Ball,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,45,Facinelli,RHH,BE,3-1,0,BB,FB,Ball,BB,,,,88,,BB,N,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,46,Bowne,RHH,R1,0-0,0,,CH,Str-take,,,,,82,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,47,Bowne,RHH,R1,0-1,0,,SL,Ball,,,,,78,1.55,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,48,Bowne,RHH,R1,1-1,0,,CH,Ball,,,,,82,1.50,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,49,Bowne,RHH,R1,2-1,0,GO,FB,Str-BIP,GO,,70,Ground,88,1.50,GO,N,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,50,Coupe,LHH,R1,0-0,1,,CH,Str-foul,,,,,82,1.55,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,51,Coupe,LHH,R1,0-1,1,,FB,Str-S/M,,,,,89,1.60,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,52,Coupe,LHH,R1,0-2,1,,FB,Ball,,SB2,,,90,1.55,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,53,Coupe,LHH,R2+,1-2,1,,FB,Str-foul,,,,,86,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,54,Coupe,LHH,R2+,1-2,1,,FB,Str-foul,,,,,88,1.50,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,55,Coupe,LHH,R2+,1-2,1,,CH,Ball,,,,,82,1.55,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Garber,R,3,56,Coupe,LHH,R2+,2-2,1,FO,FB,Str-BIP,FO,,91,Fly,88,1.55,FO,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,3rd,Garber,R,3,57,Karp,RHH,R3+,0-0,2,,SL,Ball,,WP,,,79,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,3rd,Garber,R,3,58,Karp,RHH,BE,1-0,2,,CH,Str-S/M,,,,,81,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,3rd,Garber,R,3,59,Karp,RHH,BE,1-1,2,,SL,Str-foul,,,,,77,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,3rd,Garber,R,3,60,Karp,RHH,BE,1-2,2,,FB,Ball,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,3rd,Garber,R,3,61,Karp,RHH,BE,2-2,2,,CH,Ball,,,,,81,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,3rd,Garber,R,3,62,Karp,RHH,BE,3-2,2,BB,CH,Ball,BB,,,,82,,BB,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,1,Kender,RHH,R1,0-0,2,,SL,Ball,,,,,77,1.35,,,,Bowne,,,,,Relief,,,,1.00,2,2,1,0,0,,,,,2,4,BB,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,2,Kender,RHH,R1,1-0,2,,CT,Str-take,,,,,84,1.35,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,3,Kender,RHH,R1,1-1,2,,SL,Ball,,,,,78,1.35,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,4,Kender,RHH,R1,2-1,2,,CT,Ball,,,,,84,1.25,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,5,Kender,RHH,R1,3-1,2,BB,CT,Ball,BB,,,,83,1.30,BB,N,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,6,Trommer,LHH,R12+,0-0,2,,SL,Str-take,,,,,79,1.60,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,7,Trommer,LHH,R12+,0-1,2,,Sinker,Str-foul,,,,,84,1.65,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,8,Trommer,LHH,R12+,0-2,2,,SL,Ball,,,,,82,1.60,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,3,9,Trommer,LHH,R12+,1-2,2,KL,SL,Str-take,KL,,,,80,1.65,KL,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,18,Beiswenger,RHH,BE,0-0,0,,FB,Str-foul,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,19,Beiswenger,RHH,BE,0-1,0,,FB,Str-foul,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,20,Beiswenger,RHH,BE,0-2,0,FO,FB,Str-BIP,FO,,94,Fly,90,,FO,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,21,Murphy,LHH,BE,0-0,1,,CH,Ball,,,,,84,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,22,Murphy,LHH,BE,1-0,1,,FB,Str-foul,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,23,Murphy,LHH,BE,1-1,1,,FB,Str-take,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,24,Murphy,LHH,BE,1-2,1,,FB,Ball,,,,,89,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,25,Murphy,LHH,BE,2-2,1,,SL,Ball,,,,,78,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Schultz,R,3,26,Murphy,LHH,BE,3-2,1,BB,FB,Ball,BB,,,,89,,BB,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Schultz,R,3,27,Fluharty,RHH,R1,0-0,1,,SL,Str-S/M,,,,,79,,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Schultz,R,3,28,Fluharty,RHH,R1,0-1,1,,SL,Str-take,,,,,79,1.45,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Schultz,R,3,29,Fluharty,RHH,R1,0-2,1,K,FB,Str-S/M,K,,,,89,1.35,K,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Schultz,R,3,30,Dunn,LHH,R1,0-0,2,,FB,Ball,,,,,88,1.35,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Schultz,R,3,31,Dunn,LHH,R1,1-0,2,,SL,Ball,,SB2,,,78,1.35,,,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,2nd,Schultz,R,3,32,Dunn,LHH,R2+,2-0,2,FO,FB,Str-BIP,FO,,87,Fly,88,1.40,FO,Y,,Bowne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,10,Chiaravallo,RHH,BE,0-0,0,,CT,Ball,,,,,83,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,11,Chiaravallo,RHH,BE,1-0,0,GO,CT,Str-BIP,GO,,94,Ground,83,,GO,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,12,Facinelli,RHH,BE,0-0,1,,SL,Ball,,,,,81,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,13,Facinelli,RHH,BE,1-0,1,,Sinker,Str-take,,,,,84,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,14,Facinelli,RHH,BE,1-1,1,,SL,Ball,,,,,80,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,15,Facinelli,RHH,BE,2-1,1,,CT,Ball,,,,,85,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,16,Facinelli,RHH,BE,3-1,1,,Sinker,Str-S/M,,,,,83,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,17,Facinelli,RHH,BE,3-2,1,BB,Sinker,Ball,BB,,,,84,,BB,N,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,18,Bowne,RHH,R1,0-0,1,,CT,Ball,,,,,83,,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,19,Bowne,RHH,R1,1-0,1,,SL,Ball,,,,,77,1.45,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,20,Bowne,RHH,R1,2-0,1,,CT,Str-take,,,,,83,1.45,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,10/5/24,INTRASQUAD,1st,Firestein,R,4,21,Bowne,RHH,R1,2-1,1,,CT,Str-take,,,,,83,1.30,,,,Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
