Game Type,Date,Opponent,TTO,Pitcher,P Hand,Inning,Pitch Count,Batter,B Hand,ROB,Count,Outs,PAResCopy1,Pitch Type,Pitch Result,PA Result,Base Adv.,Exit Velo,BIP Type,Pitch Velo,TTP,PAResCopy2,OA3,Putaways,Catcher,Umpire,PitcherCopy,Team W-L,Score,Start/Relief,W,L,S,IP,R,ER,LO #,LO-reach,LO-Score,BI,BI-Ch,SD Inn,SD-Ch,M-out,M-Ch,1st Responder,IR,IR-Score,Previous Pitch Type,Previous Pitch result,Previous PA Result,BlankCol1,BlankCol2,BlankCol3,BlankCol4,BlankCol5,BlankCol6,BlankCol7,BlankCol8,BlankCol9,BlankCol10
DO NOT USE THIS LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,Leadoff,,,Big Innings,,Shutdowns,,Momentum,,,Inherited,,#REF!,#REF!,#REF!,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22 Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mitchell,R,2,32,Fluharty,RHH,R2+,1-0,2,,FB,Str-foul,,,,,87,,,,,Bowne,,*,1/29/25,INTRASQUAD,,Mitchell,R,2,32,Fluharty,RHH,R2+,1-0,2,,FB,Str-foul,,,,,87,,,,,Bowne,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mitchell,R,2,33,Fluharty,RHH,R2+,1-1,2,,CH,Ball,,,,,81,,,,,Bowne,,*,1/29/25,INTRASQUAD,,Mitchell,R,2,33,Fluharty,RHH,R2+,1-1,2,,CH,Ball,,,,,81,,,,,Bowne,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mitchell,R,2,34,Fluharty,RHH,R2+,2-1,2,,CT,Str-take,,,,,80,,,,,Bowne,,*,1/29/25,INTRASQUAD,,Mitchell,R,2,34,Fluharty,RHH,R2+,2-1,2,,CT,Str-take,,,,,80,,,,,Bowne,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mitchell,R,2,35,Fluharty,RHH,R2+,2-2,2,,SL,Ball,,,,,77,,,,,Bowne,,*,1/29/25,INTRASQUAD,,Mitchell,R,2,35,Fluharty,RHH,R2+,2-2,2,,SL,Ball,,,,,77,,,,,Bowne,,,,,,,,,
*,1/29/25,INTRASQUAD,,Mitchell,R,2,36,Fluharty,RHH,R2+,3-2,2,K,FB,Str-S/M,K,,,,86,,K,N,,Bowne,,*,1/29/25,INTRASQUAD,,Mitchell,R,2,36,Fluharty,RHH,R2+,3-2,2,K,FB,Str-S/M,K,,,,86,,K,N,,Bowne,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,24,Coupe,LHH,BE,0-0,0,,Sinker,Ball,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,24,Coupe,LHH,BE,0-0,0,,Sinker,Ball,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,25,Coupe,LHH,BE,1-0,0,,CT,Ball,,,,,86,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,25,Coupe,LHH,BE,1-0,0,,CT,Ball,,,,,86,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,26,Coupe,LHH,BE,2-0,0,,CT,Ball,,,,,87,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,26,Coupe,LHH,BE,2-0,0,,CT,Ball,,,,,87,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,27,Coupe,LHH,BE,3-0,0,,CT,Str-foul,,,,,88,,,,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,27,Coupe,LHH,BE,3-0,0,,CT,Str-foul,,,,,88,,,,,Nascimento,,,,,,,,,
*,1/29/25,INTRASQUAD,,Adelmann,R,2,28,Coupe,LHH,BE,3-1,0,BB,SL,Ball,BB,,,,81,,BB,N,,Nascimento,,*,1/29/25,INTRASQUAD,,Adelmann,R,2,28,Coupe,LHH,BE,3-1,0,BB,SL,Ball,BB,,,,81,,BB,N,,Nascimento,,,,,,,,,
